16:54:42.203 -> 0
16:54:42.203 -> On 0
16:54:43.760 -> On 9
16:54:44.253 -> On 317
16:54:44.751 -> Off 353
16:54:45.277 -> Off 356
16:54:45.775 -> Off 356
16:54:46.259 -> Off 351
16:54:46.752 -> Off 340
16:54:47.281 -> Off 111
16:54:47.779 -> On 0
16:54:48.276 -> On 0
16:54:48.774 -> On 0
16:54:49.276 -> On 260
16:54:49.767 -> On 451
16:54:50.260 -> Off 462
16:54:50.778 -> Off 471
16:54:51.270 -> Off 337
16:54:51.772 -> Off 0
16:54:52.298 -> On 0
16:54:52.765 -> On 0
16:54:53.297 -> On 0
16:54:53.787 -> On 0
16:54:54.294 -> On 0
16:54:54.787 -> On 0
16:54:55.283 -> On 0
16:54:55.776 -> On 0
16:54:56.281 -> On 0
16:54:56.776 -> On 0
16:54:57.308 -> On 0
16:54:57.805 -> On 0
16:54:58.310 -> On 0
16:54:58.811 -> On 298
16:54:59.309 -> On 279
16:54:59.795 -> On 199
16:55:00.289 -> On 205
16:55:00.784 -> On 341
16:55:01.314 -> Off 360
16:55:01.814 -> Off 358
16:55:02.305 -> Off 362
16:55:02.794 -> Off 169
16:55:03.319 -> On 150
16:55:03.804 -> On 165
16:55:04.325 -> On 159
16:55:04.794 -> On 237
16:55:05.325 -> On 238
16:55:05.822 -> On 248
16:55:06.329 -> On 316
16:55:06.829 -> Off 331
16:55:07.325 -> Off 332
16:55:07.829 -> Off 336
16:55:08.329 -> Off 182
16:55:08.826 -> On 212
16:55:09.326 -> On 232
16:55:09.818 -> On 239
16:55:10.315 -> On 236
16:55:10.812 -> On 230
16:55:11.346 -> On 228
16:55:11.841 -> On 230
16:55:12.345 -> On 191
16:55:12.813 -> On 323
16:55:13.333 -> Off 324
16:55:13.833 -> Off 327
16:55:14.337 -> Off 328
16:55:14.828 -> Off 343
16:55:15.322 -> Off 346
16:55:15.830 -> Off 342
16:55:16.323 -> Off 344
16:55:16.852 -> Off 347
16:55:17.348 -> Off 347
16:55:17.836 -> Off 343
16:55:18.338 -> Off 344
16:55:18.829 -> Off 337
16:55:19.359 -> Off 341
16:55:19.854 -> Off 342
16:55:20.347 -> Off 340
16:55:20.841 -> Off 344
16:55:21.336 -> Off 343
16:55:21.855 -> Off 0
16:55:22.347 -> On 0
16:55:22.839 -> On 0
16:55:23.364 -> On 0
16:55:23.856 -> On 0
16:55:24.351 -> On 0
16:55:24.849 -> On 277
16:55:25.355 -> On 209
16:55:25.848 -> On 217
16:55:26.346 -> On 213
16:55:26.859 -> On 193
16:55:27.364 -> On 108
16:55:27.868 -> On 109
16:55:28.364 -> On 118
16:55:28.853 -> On 168
16:55:29.382 -> On 95
16:55:29.876 -> On 83
16:55:30.377 -> On 96
16:55:30.875 -> On 84
16:55:31.380 -> On 252
16:55:31.886 -> On 403
16:55:32.373 -> Off 405
16:55:32.869 -> Off 404
16:55:33.363 -> Off 404
16:55:33.884 -> Off 408
16:55:34.384 -> Off 393
16:55:34.882 -> Off 397
16:55:35.384 -> Off 136
16:55:35.879 -> On 176
16:55:36.386 -> On 353
16:55:36.880 -> Off 391
16:55:37.385 -> Off 401
16:55:37.882 -> Off 400
16:55:38.400 -> Off 400
16:55:38.898 -> Off 392
16:55:39.397 -> Off 378
16:55:39.899 -> Off 365
16:55:40.408 -> Off 363
16:55:40.900 -> Off 393
16:55:41.396 -> Off 0
16:55:41.899 -> On 0
16:55:42.383 -> On 0
16:55:42.909 -> On 0
